Unnamed: 0,Total Confirmed,ARIMA,LSTM,GRU,prophet,Hybrid ARIMA+ANN,Proposed Model
11/25/22,44672442,46456434.07867802,46437620.0,45334650.0,51454136.0,44547646.70367802,44547678.21238947
11/26/22,44672787,46477052.8344459,46438104.0,45335024.0,51504930.0,44568265.4594459,44568296.96815735
11/27/22,44673078,46497671.60627239,46438532.0,45335348.0,51556689.0,44588884.231272385,44588915.73998384
11/28/22,44673293,46518290.39320387,46438890.0,45335624.0,51603140.0,44609503.01820387,44609534.52691533
11/29/22,44673567,46538909.194343366,46439156.0,45335828.0,51657263.0,44630121.819343366,44630153.328054816
11/30/22,44673863,46559528.00884716,46439492.0,45336092.0,51726006.0,44650740.633847155,44650772.142558604
12/1/22,44674138,46580146.835921615,46439860.0,45336372.0,51790355.0,44671359.460921615,44671390.96963307
12/2/22,44674390,46600765.67482027,46440196.0,45336628.0,51854856.0,44691978.29982027,44692009.80853172
12/3/22,44674616,46621384.52484094,46440504.0,45336870.0,51919273.0,44712597.14984094,44712628.65855239
12/4/22,44674842,46642003.38532318,46440790.0,45337092.0,51982592.0,44733216.01032318,44733247.51903464
12/5/22,44675006,46662622.25564574,46441070.0,45337304.0,52037968.0,44753834.88064574,44753866.3893572
12/6/22,44675172,46683241.13522426,46441268.0,45337456.0,52097862.0,44774453.76022426,44774485.26893571
12/7/22,44675413,46703860.0235091,46441470.0,45337612.0,52168776.0,44795072.6485091,44795104.15722056
12/8/22,44675662,46724478.919983245,46441772.0,45337844.0,52231337.0,44815691.544983245,44815723.053694695
12/9/22,44675872,46745097.82416039,46442084.0,45338084.0,52289840.0,44836310.44916039,44836341.95787184
12/10/22,44676045,46765716.735583104,46442340.0,45338290.0,52343908.0,44856929.360583104,44856960.86929456
12/11/22,44676045,46786335.65382112,46442548.0,45338450.0,52392515.0,44877548.27882112,44877579.78753257
12/12/22,44676318,46806954.57846972,46442548.0,45338450.0,52428933.0,44898167.203469716,44898198.712181166
12/13/22,44676470,46827573.50914822,46442884.0,45338710.0,52465875.0,44918786.13414822,44918817.64285967
12/14/22,44676670,46848192.44549855,46443070.0,45338852.0,52510228.0,44939405.07049855,44939436.57921
12/15/22,44676832,46868811.3871839,46443324.0,45339040.0,52543139.0,44960024.0121839,44960055.52089535
12/16/22,44676999,46889430.33388744,46443516.0,45339190.0,52569538.0,44980642.95888744,44980674.4675989
12/17/22,44677175,46910049.28531119,46443730.0,45339356.0,52589800.0,45001261.91031119,45001293.41902265
12/18/22,44677310,46930668.24117485,46443940.0,45339520.0,52603747.0,45021880.86617485,45021912.374886304
12/19/22,44677422,46951287.201214746,46444110.0,45339652.0,52605579.0,45042499.826214746,45042531.3349262
12/20/22,44677554,46971906.165182896,46444244.0,45339756.0,52608996.0,45063118.790182896,45063150.298894346
12/21/22,44677739,46992525.13284602,46444410.0,45339884.0,52621915.0,45083737.75784602,45083769.26655747
12/22/22,44677902,47013144.1039847,46444640.0,45340060.0,52626523.0,45104356.7289847,45104388.23769616
12/23/22,44678103,47033763.07839254,46444840.0,45340212.0,52628784.0,45124975.70339254,45125007.21210399
